StaffId,Name,DateOfBirth,Gender,Nationality,Email,PhoneNumber
1,Justinian Rosengren,1995-04-05,Male,Portugal,jrosengren0@freewebs.com,578-511-1862
2,Creighton Conichie,1997-01-05,Male,Peru,cconichie1@ycombinator.com,819-913-1670
3,Candide Comelini,1994-12-21,Female,Norway,ccomelini2@cyberchimps.com,211-383-4214
4,Leilah Lagde,1991-08-17,Female,Philippines,llagde3@java.com,369-996-0872
5,Shelbi Ussher,1988-11-07,Female,Indonesia,sussher4@themeforest.net,663-631-3885
6,Ricki Overington,1999-04-27,Male,Kazakhstan,roverington5@mayoclinic.com,411-414-2277
7,Waiter Gulleford,1989-05-06,Male,Greece,wgulleford6@typepad.com,516-908-6084
8,Otto Shah,1990-09-20,Male,China,oshah7@lulu.com,408-223-0254
9,Shepperd Paver,1994-11-07,Male,Cuba,spaver8@printfriendly.com,809-848-6488
10,Maye Shallcross,1987-06-20,Female,China,mshallcross9@dot.gov,854-838-5253
11,Piggy Duplock,1999-12-21,Male,Russia,pduplocka@mayoclinic.com,785-133-5416
12,Lauren Paaso,1986-03-19,Female,China,lpaasob@posterous.com,424-430-8835
13,Ferdinanda Cheel,1988-07-08,Female,Czech Republic,fcheelc@prweb.com,787-343-6320
14,Venita Matej,1998-12-26,Female,South Africa,vmatejd@washingtonpost.com,263-113-5283
15,Heddie Alliot,1994-11-14,Female,China,halliote@illinois.edu,101-515-0668
16,Sydney Patry,1997-07-01,Male,Argentina,spatryf@chron.com,847-617-9217
17,Kipp Cumberland,1994-04-21,Female,China,kcumberlandg@lulu.com,141-402-5324
18,Ursuline O'Dreain,1999-05-06,Female,Colombia,uodreainh@cdc.gov,165-459-6878
19,Effie Godon,1986-01-13,Female,China,egodoni@china.com.cn,202-842-6127
20,Carlyle Langcastle,1985-08-26,Male,Philippines,clangcastlej@intel.com,394-556-9893
21,Hugues Mayman,1993-07-21,Male,Indonesia,hmaymank@nhs.uk,963-411-8558
22,Francene Wimpeney,1989-03-02,Female,Afghanistan,fwimpeneyl@elpais.com,835-547-0004
23,Grenville Mosen,1991-03-06,Male,United States,gmosenm@biblegateway.com,651-595-1648
